time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-09-24 09:30:06.094881-04:00,32.55,100.0,32.61,60.0,17.44,550.0,17.45,292.0,16.25,1364.0,16.26,731.0,54.68,90.0,54.78,72.0,16.06,70.0,16.07,20.0,24.29,51.0,24.31,191.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:06.550662-04:00,32.56,80.0,32.62,40.0,17.44,550.0,17.45,292.0,16.25,1364.0,16.26,731.0,54.68,90.0,54.78,72.0,16.06,70.0,16.07,20.0,24.29,51.0,24.31,191.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:06.550662-04:00,32.56,80.0,32.62,40.0,17.44,1254.0,17.45,25.0,16.25,1364.0,16.26,731.0,54.64,70.0,54.77,72.0,16.06,70.0,16.07,20.0,24.29,51.0,24.31,191.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:06.550662-04:00,32.56,80.0,32.62,40.0,17.44,1254.0,17.45,25.0,16.25,1364.0,16.26,57.0,54.64,70.0,54.77,72.0,16.06,70.0,16.07,20.0,24.29,51.0,24.31,191.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:10.556949-04:00,32.56,80.0,32.62,40.0,17.44,1254.0,17.45,25.0,16.25,1364.0,16.26,57.0,54.64,70.0,54.77,72.0,16.07,12.0,16.08,157.0,24.29,51.0,24.31,210.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:10.556949-04:00,32.56,80.0,32.62,40.0,17.44,1254.0,17.45,25.0,16.26,344.0,16.27,988.0,54.64,70.0,54.77,72.0,16.07,12.0,16.08,157.0,24.29,51.0,24.31,210.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:10.556949-04:00,32.56,80.0,32.62,40.0,17.44,1254.0,17.45,25.0,16.26,344.0,16.27,988.0,54.67,72.0,54.76,72.0,16.07,9.0,16.08,157.0,24.29,51.0,24.31,210.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:31.181807-04:00,32.57,20.0,32.62,60.0,17.44,1254.0,17.45,25.0,16.26,344.0,16.27,988.0,54.67,72.0,54.76,72.0,16.07,9.0,16.08,157.0,24.29,51.0,24.31,210.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:31.181807-04:00,32.57,20.0,32.62,60.0,17.44,1254.0,17.45,25.0,16.26,344.0,16.27,988.0,54.67,72.0,54.76,72.0,16.07,9.0,16.08,157.0,24.29,51.0,24.31,30.0,68.79,5.0,69.37,2.0
2021-09-24 09:30:31.181807-04:00,32.57,20.0,32.62,60.0,17.44,1223.0,17.46,391.0,16.26,344.0,16.27,988.0,54.67,72.0,54.76,72.0,16.07,9.0,16.08,157.0,24.29,51.0,24.31,30.0,68.79,5.0,69.37,2.0
