time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-09-24 09:30:06.094881-04:00,17.44,550,17.45,292,16.25,1364,16.26,731
2021-09-24 09:30:06.550662-04:00,17.44,550,17.45,292,16.25,1364,16.26,731
2021-09-24 09:30:06.550662-04:00,17.44,1254,17.45,25,16.25,1364,16.26,731
2021-09-24 09:30:06.550662-04:00,17.44,1254,17.45,25,16.25,1364,16.26,57
2021-09-24 09:30:10.556949-04:00,17.44,1254,17.45,25,16.25,1364,16.26,57
2021-09-24 09:30:10.556949-04:00,17.44,1254,17.45,25,16.26,344,16.27,988
2021-09-24 09:30:10.556949-04:00,17.44,1254,17.45,25,16.26,344,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1254,17.45,25,16.26,344,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1254,17.45,25,16.26,344,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1223,17.46,391,16.26,344,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1223,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1223,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1222,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:31.181807-04:00,17.44,1222,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:36.707034-04:00,17.44,1222,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:36.707034-04:00,17.44,1222,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:36.707034-04:00,17.44,1222,17.46,391,16.26,968,16.27,988
2021-09-24 09:30:36.707034-04:00,17.44,1315,17.46,397,16.26,968,16.27,988
2021-09-24 09:30:48.719917-04:00,17.44,1315,17.46,397,16.26,1089,16.27,988
2021-09-24 09:30:48.719917-04:00,17.44,1269,17.46,415,16.26,1089,16.27,988
2021-09-24 09:30:48.719917-04:00,17.44,1269,17.46,415,16.26,1089,16.27,988
2021-09-24 09:30:57.974189-04:00,17.44,1269,17.46,415,16.26,1089,16.27,988
2021-09-24 09:30:57.974189-04:00,17.44,1269,17.46,415,16.26,1089,16.27,988
2021-09-24 09:30:57.974189-04:00,17.44,1269,17.46,415,16.26,1089,16.27,988
2021-09-24 09:30:57.974189-04:00,17.44,1269,17.46,415,16.26,1089,16.27,1804
2021-09-24 09:30:57.974189-04:00,17.45,939,17.46,531,16.26,1089,16.27,1804
2021-09-24 09:31:11.327476-04:00,17.45,939,17.46,531,16.26,1089,16.27,1804
2021-09-24 09:31:11.327476-04:00,17.45,939,17.46,531,16.26,1089,16.27,1804
2021-09-24 09:31:11.327476-04:00,17.45,939,17.46,531,16.26,1089,16.27,1804
2021-09-24 09:31:11.327476-04:00,17.45,939,17.46,531,16.26,1089,16.27,1804
2021-09-24 09:31:11.327476-04:00,17.45,91,17.46,459,16.26,1089,16.27,1804
2021-09-24 09:31:16.505628-04:00,17.45,91,17.46,459,16.26,1089,16.27,1804
2021-09-24 09:31:16.505628-04:00,17.45,91,17.46,459,16.26,409,16.27,1804
2021-09-24 09:31:16.505628-04:00,17.45,91,17.46,459,16.26,409,16.27,1804
2021-09-24 09:31:16.505628-04:00,17.45,91,17.46,459,16.26,409,16.27,1804
2021-09-24 09:31:24.702714-04:00,17.44,1266,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:24.702714-04:00,17.44,1266,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:24.702714-04:00,17.44,1266,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1266,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1266,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1024,17.45,192,16.25,1314,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1024,17.45,192,16.25,1304,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1024,17.45,192,16.25,1304,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1024,17.45,192,16.25,1304,16.26,272
2021-09-24 09:31:32.527794-04:00,17.44,1024,17.45,192,16.25,1304,16.26,272
2021-09-24 09:31:32.527794-04:00,17.45,65,17.46,534,16.25,1304,16.26,272
2021-09-24 09:31:51.504057-04:00,17.45,65,17.46,534,16.25,1304,16.26,272
2021-09-24 09:31:51.504057-04:00,17.45,65,17.46,534,16.26,1123,16.27,1725
2021-09-24 09:31:51.504057-04:00,17.45,65,17.46,534,16.26,1123,16.27,1725
2021-09-24 09:31:51.504057-04:00,17.45,1042,17.46,512,16.26,1123,16.27,1725
2021-09-24 09:31:51.504057-04:00,17.45,1042,17.46,512,16.26,1123,16.27,1725
2021-09-24 09:31:51.504057-04:00,17.45,1042,17.46,512,16.26,1123,16.27,1725
2021-09-24 09:31:51.504057-04:00,17.45,1042,17.46,512,16.26,1123,16.27,1725
2021-09-24 09:31:58.560194-04:00,17.45,1042,17.46,512,16.26,1123,16.27,1725
2021-09-24 09:31:58.560194-04:00,17.45,1042,17.46,512,16.26,1190,16.27,1580
2021-09-24 09:32:04.898247-04:00,17.45,1042,17.46,512,16.26,1190,16.27,1580
2021-09-24 09:32:04.898247-04:00,17.45,872,17.46,448,16.26,688,16.27,993
2021-09-24 09:32:04.898247-04:00,17.45,872,17.46,448,16.26,688,16.27,993
2021-09-24 09:32:04.898247-04:00,17.45,872,17.46,448,16.26,688,16.27,993
2021-09-24 09:32:04.898247-04:00,17.45,872,17.46,448,16.26,386,16.27,930
2021-09-24 09:32:04.898247-04:00,17.45,872,17.46,448,16.26,386,16.27,930
2021-09-24 09:32:14.581358-04:00,17.45,872,17.46,448,16.26,386,16.27,930
2021-09-24 09:32:14.581358-04:00,17.45,999,17.46,64,16.26,386,16.27,930
2021-09-24 09:32:14.581358-04:00,17.45,999,17.46,64,16.26,386,16.27,930
2021-09-24 09:32:14.581358-04:00,17.45,999,17.46,64,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,999,17.46,64,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,999,17.46,64,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,904,17.46,448,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,904,17.46,448,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,904,17.46,448,16.26,792,16.27,965
2021-09-24 09:32:24.594586-04:00,17.45,904,17.46,448,16.26,557,16.27,1781
2021-09-24 09:32:24.594586-04:00,17.45,904,17.46,448,16.26,557,16.27,1781
2021-09-24 09:32:37.611785-04:00,17.45,904,17.46,448,16.26,557,16.27,1781
2021-09-24 09:32:37.611785-04:00,17.44,1281,17.46,606,16.26,557,16.27,1781
2021-09-24 09:32:37.611785-04:00,17.44,1281,17.46,606,16.26,557,16.27,1781
2021-09-24 09:32:46.621696-04:00,17.44,1281,17.46,606,16.26,557,16.27,1781
2021-09-24 09:32:46.621696-04:00,17.44,1281,17.46,606,16.26,557,16.27,1781
2021-09-24 09:32:46.621696-04:00,17.44,1281,17.46,606,16.26,549,16.27,1655
2021-09-24 09:32:46.621696-04:00,17.45,110,17.46,534,16.26,549,16.27,1655
2021-09-24 09:32:46.621696-04:00,17.45,110,17.46,534,16.26,549,16.27,1655
2021-09-24 09:32:46.621696-04:00,17.44,1390,17.46,544,16.26,549,16.27,1655
2021-09-24 09:32:46.621696-04:00,17.44,1390,17.46,544,16.26,549,16.27,1655
2021-09-24 09:33:05.683731-04:00,17.44,1390,17.46,544,16.26,549,16.27,1655
2021-09-24 09:33:05.683731-04:00,17.44,1390,17.46,544,16.26,614,16.27,1651
2021-09-24 09:33:05.683731-04:00,17.44,1250,17.46,612,16.26,614,16.27,1651
2021-09-24 09:33:05.683731-04:00,17.44,1250,17.46,612,16.26,614,16.27,1651
2021-09-24 09:33:25.331861-04:00,17.44,1250,17.46,612,16.26,614,16.27,1651
2021-09-24 09:33:25.331861-04:00,17.44,1250,17.46,612,16.26,614,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.44,1250,17.46,612,16.26,614,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.44,1250,17.46,612,16.26,716,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.44,1250,17.46,612,16.26,716,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.44,1250,17.46,612,16.26,716,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.45,258,17.46,477,16.26,716,16.27,1651
2021-09-24 09:33:45.693629-04:00,17.45,258,17.46,477,16.26,716,16.27,1651
2021-09-24 09:33:57.713679-04:00,17.45,258,17.46,477,16.26,716,16.27,1651
2021-09-24 09:33:57.713679-04:00,17.45,258,17.46,477,16.26,1218,16.27,1442
