time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-09-29 09:30:05.084378-04:00,18.26,488,18.27,400,16.63,1482,16.64,31
2021-09-29 09:30:05.084378-04:00,18.26,734,18.27,400,16.63,1482,16.64,31
2021-09-29 09:30:09.314070-04:00,18.26,734,18.27,400,16.63,1505,16.64,269
2021-09-29 09:30:09.314070-04:00,18.26,1217,18.27,400,16.63,1505,16.64,269
2021-09-29 09:30:09.314070-04:00,18.26,369,18.27,400,16.63,1505,16.64,269
2021-09-29 09:30:25.303321-04:00,18.26,369,18.27,400,16.63,1482,16.64,150
2021-09-29 09:30:49.400893-04:00,18.26,369,18.27,400,16.64,654,16.65,1547
2021-09-29 09:30:49.400893-04:00,18.26,1227,18.28,608,16.64,654,16.65,1547
2021-09-29 09:30:49.400893-04:00,18.26,1227,18.28,608,16.64,654,16.65,1547
2021-09-29 09:30:54.298797-04:00,18.26,1227,18.28,608,16.64,654,16.65,1547
2021-09-29 09:30:54.298797-04:00,18.26,1227,18.28,608,16.64,150,16.65,1666
2021-09-29 09:30:54.298797-04:00,18.26,1227,18.28,608,16.64,150,16.65,1666
2021-09-29 09:30:54.298797-04:00,18.26,955,18.27,68,16.64,150,16.65,1666
2021-09-29 09:31:05.313351-04:00,18.26,955,18.27,68,16.64,150,16.65,1666
2021-09-29 09:31:05.313351-04:00,18.26,955,18.27,68,16.64,150,16.65,1666
2021-09-29 09:31:05.313351-04:00,18.26,955,18.27,68,16.64,916,16.65,1666
2021-09-29 09:31:05.313351-04:00,18.26,1099,18.28,553,16.64,916,16.65,1666
2021-09-29 09:31:05.313351-04:00,18.26,1099,18.28,553,16.64,916,16.65,1666
2021-09-29 09:31:12.364499-04:00,18.26,1099,18.28,553,16.64,916,16.65,1666
2021-09-29 09:31:12.364499-04:00,18.26,1099,18.28,553,16.64,282,16.65,1666
2021-09-29 09:31:12.364499-04:00,18.26,1048,18.27,122,16.64,282,16.65,1666
2021-09-29 09:31:12.364499-04:00,18.26,1048,18.27,122,16.64,282,16.65,1666
2021-09-29 09:31:12.364499-04:00,18.26,1048,18.27,122,16.64,282,16.65,1666
2021-09-29 09:31:22.338832-04:00,18.26,1048,18.27,122,16.64,282,16.65,1666
2021-09-29 09:31:22.338832-04:00,18.26,1048,18.27,122,16.63,1523,16.64,517
2021-09-29 09:31:22.338832-04:00,18.26,1048,18.27,122,16.63,1523,16.64,517
2021-09-29 09:31:22.338832-04:00,18.26,379,18.27,252,16.63,1523,16.64,517
2021-09-29 09:31:22.338832-04:00,18.26,379,18.27,252,16.63,1523,16.64,517
2021-09-29 09:31:22.338832-04:00,18.26,379,18.27,252,16.63,1523,16.64,517
2021-09-29 09:31:22.338832-04:00,18.26,379,18.27,252,16.64,511,16.65,1575
2021-09-29 09:31:36.358349-04:00,18.26,379,18.27,252,16.64,511,16.65,1575
2021-09-29 09:31:36.358349-04:00,18.26,527,18.27,122,16.64,511,16.65,1575
2021-09-29 09:31:36.358349-04:00,18.26,1314,18.27,68,16.64,511,16.65,1575
2021-09-29 09:31:43.043476-04:00,18.26,1314,18.27,68,16.64,257,16.65,1575
2021-09-29 09:31:43.043476-04:00,18.26,1314,18.27,68,16.64,199,16.65,1575
2021-09-29 09:31:49.376542-04:00,18.26,1314,18.27,68,16.64,199,16.65,1575
2021-09-29 09:31:49.376542-04:00,18.26,1307,18.27,14,16.64,199,16.65,1575
2021-09-29 09:31:49.376542-04:00,18.26,1307,18.27,14,16.64,270,16.65,1501
2021-09-29 09:31:49.376542-04:00,18.26,537,18.27,122,16.64,270,16.65,1501
2021-09-29 09:32:17.415576-04:00,18.26,537,18.27,122,16.64,270,16.65,1501
2021-09-29 09:32:17.415576-04:00,18.26,537,18.27,122,16.63,1440,16.65,1501
