time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-10-01 09:30:02.981037-04:00,18.13,310,18.15,791,16.58,51,16.59,1349
2021-10-01 09:30:02.981037-04:00,18.13,310,18.15,791,16.58,51,16.59,1349
2021-10-01 09:30:02.981037-04:00,18.13,310,18.15,791,16.58,51,16.59,1349
2021-10-01 09:30:02.981037-04:00,18.13,315,18.14,57,16.58,51,16.59,1349
2021-10-01 09:30:02.981037-04:00,18.13,315,18.14,57,16.58,51,16.59,1349
2021-10-01 09:30:05.726185-04:00,18.13,315,18.14,57,16.58,51,16.59,1349
2021-10-01 09:30:05.726185-04:00,18.13,315,18.14,57,16.57,841,16.58,684
2021-10-01 09:30:07.729936-04:00,18.13,315,18.14,57,16.57,841,16.58,684
2021-10-01 09:30:07.729936-04:00,18.13,261,18.15,571,16.57,841,16.58,684
2021-10-01 09:30:07.729936-04:00,18.13,261,18.15,571,16.57,841,16.58,684
2021-10-01 09:30:07.729936-04:00,18.13,261,18.15,571,16.57,841,16.58,57
2021-10-01 09:30:07.729936-04:00,18.13,320,18.14,57,16.57,841,16.58,57
2021-10-01 09:30:07.729936-04:00,18.13,320,18.14,57,16.57,841,16.58,126
2021-10-01 09:30:07.729936-04:00,18.13,320,18.14,57,16.57,841,16.58,126
2021-10-01 09:30:07.729936-04:00,18.13,320,18.14,57,16.57,841,16.58,126
2021-10-01 09:30:07.729936-04:00,18.13,320,18.14,57,16.57,841,16.58,126
2021-10-01 09:30:07.729936-04:00,18.14,217,18.16,453,16.57,841,16.58,126
2021-10-01 09:30:07.729936-04:00,18.14,217,18.16,453,16.58,1231,16.59,1351
2021-10-01 09:30:37.867209-04:00,18.14,217,18.16,453,16.58,1231,16.59,1351
2021-10-01 09:30:37.867209-04:00,18.14,299,18.16,757,16.58,1231,16.59,1351
2021-10-01 09:30:37.867209-04:00,18.14,299,18.16,757,16.58,1231,16.59,1351
2021-10-01 09:30:46.958904-04:00,18.14,299,18.16,757,16.58,1231,16.59,1279
2021-10-01 09:30:46.958904-04:00,18.14,299,18.16,757,16.58,1231,16.59,1279
2021-10-01 09:30:46.958904-04:00,18.13,317,18.15,894,16.58,1231,16.59,1279
2021-10-01 09:30:46.958904-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:30:55.096160-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:30:55.096160-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:30:55.096160-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:31:08.516473-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:31:08.516473-04:00,18.13,317,18.15,894,16.58,126,16.59,1413
2021-10-01 09:31:08.516473-04:00,18.12,143,18.13,285,16.58,126,16.59,1413
2021-10-01 09:31:08.516473-04:00,18.12,143,18.13,285,16.57,857,16.58,1501
2021-10-01 09:31:13.847976-04:00,18.12,143,18.13,285,16.57,857,16.58,1501
2021-10-01 09:31:13.847976-04:00,18.12,143,18.13,285,16.57,857,16.58,1501
2021-10-01 09:31:13.847976-04:00,18.12,143,18.13,285,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.12,143,18.13,285,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,23,18.14,747,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,23,18.14,747,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,23,18.14,747,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,32,18.14,343,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,32,18.14,343,16.57,857,16.58,1462
2021-10-01 09:31:13.847976-04:00,18.13,32,18.14,343,16.57,812,16.58,1174
2021-10-01 09:31:35.951978-04:00,18.13,32,18.14,343,16.57,812,16.58,1174
2021-10-01 09:31:35.951978-04:00,18.13,32,18.14,343,16.57,812,16.58,1174
2021-10-01 09:31:35.951978-04:00,18.13,32,18.14,343,16.57,812,16.58,1174
