time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-09-28 09:30:08.228362-04:00,18.29,807,18.31,593,16.65,1458,16.66,1525
2021-09-28 09:30:08.228362-04:00,18.29,807,18.31,593,16.65,1458,16.66,1525
2021-09-28 09:30:08.228362-04:00,18.29,807,18.31,593,16.65,1456,16.66,1525
2021-09-28 09:30:12.847010-04:00,18.29,807,18.31,593,16.65,1456,16.66,1525
2021-09-28 09:30:12.847010-04:00,18.3,814,18.31,28,16.65,1456,16.66,1525
2021-09-28 09:30:15.852976-04:00,18.3,814,18.31,28,16.65,1456,16.66,1525
2021-09-28 09:30:22.866223-04:00,18.3,814,18.31,28,16.65,1456,16.66,1525
2021-09-28 09:30:22.866223-04:00,18.3,698,18.31,314,16.65,1456,16.66,1525
2021-09-28 09:30:22.866223-04:00,18.3,698,18.31,314,16.65,1612,16.66,1525
2021-09-28 09:30:22.866223-04:00,18.3,698,18.31,314,16.65,1612,16.66,1525
2021-09-28 09:30:34.664680-04:00,18.3,698,18.31,314,16.65,1612,16.66,1525
2021-09-28 09:30:34.664680-04:00,18.3,504,18.31,220,16.65,1612,16.66,1525
2021-09-28 09:30:34.664680-04:00,18.3,504,18.31,220,16.65,1846,16.66,1525
2021-09-28 09:30:34.664680-04:00,18.3,504,18.31,220,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.3,504,18.31,220,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.3,967,18.32,473,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.3,967,18.32,473,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.3,967,18.32,473,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.3,967,18.32,473,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.31,1012,18.33,762,16.65,1846,16.66,1525
2021-09-28 09:30:48.046901-04:00,18.31,1012,18.33,762,16.65,1846,16.66,1525
