time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-09-30 09:30:04.359132-04:00,35.34,1.0,35.48,90.0,18.44,328.0,18.45,60.0,16.72,466.0,16.73,1620.0,51.6,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,72.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:04.368110-04:00,35.34,1.0,35.48,90.0,18.44,328.0,18.45,60.0,16.72,466.0,16.73,1620.0,51.61,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,72.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:04.368110-04:00,35.34,1.0,35.48,90.0,18.44,328.0,18.45,60.0,16.71,339.0,16.73,1570.0,51.61,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,72.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:08.596801-04:00,35.34,1.0,35.48,90.0,18.44,335.0,18.46,650.0,16.71,339.0,16.73,1570.0,51.61,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,72.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,335.0,18.46,650.0,16.71,339.0,16.73,1570.0,51.61,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,72.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,335.0,18.46,650.0,16.71,339.0,16.73,1570.0,51.61,72.0,51.71,1.0,16.34,187.0,16.36,76.0,24.51,82.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,335.0,18.46,650.0,16.71,373.0,16.72,1417.0,51.63,18.0,51.77,18.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.63,2.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,335.0,18.46,650.0,16.71,373.0,16.72,1417.0,51.63,18.0,51.77,18.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,1.0,18.45,879.0,16.71,373.0,16.72,1417.0,51.63,18.0,51.77,18.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,1.0,18.45,879.0,16.71,373.0,16.72,1417.0,51.66,90.0,51.78,1.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:24.633924-04:00,35.34,1.0,35.46,90.0,18.44,1.0,18.45,879.0,16.71,638.0,16.72,1923.0,51.66,90.0,51.78,1.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.44,1.0,18.45,879.0,16.71,638.0,16.72,1923.0,51.66,90.0,51.78,1.0,16.34,187.0,16.35,13.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.44,1.0,18.45,879.0,16.71,638.0,16.72,1923.0,51.66,90.0,51.78,1.0,16.34,29.0,16.35,66.0,24.51,82.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.44,1.0,18.45,879.0,16.71,638.0,16.72,1923.0,51.66,90.0,51.78,1.0,16.34,29.0,16.35,66.0,24.5,65.0,24.52,14.0,67.64,7.0,68.06,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.42,435.0,18.44,990.0,16.71,638.0,16.72,1923.0,51.66,90.0,51.78,1.0,16.34,29.0,16.35,66.0,24.5,65.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.42,435.0,18.44,990.0,16.71,638.0,16.72,1923.0,51.65,18.0,51.78,1.0,16.34,29.0,16.35,66.0,24.5,65.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:35.661443-04:00,35.26,2.0,35.42,90.0,18.42,435.0,18.44,990.0,16.71,638.0,16.72,1923.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.5,65.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:45.563967-04:00,35.28,92.0,35.44,90.0,18.42,435.0,18.44,990.0,16.71,638.0,16.72,1923.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.5,65.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:45.563967-04:00,35.28,92.0,35.44,90.0,18.42,435.0,18.44,990.0,16.71,1091.0,16.72,2080.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.5,65.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:45.563967-04:00,35.28,92.0,35.44,90.0,18.43,428.0,18.44,791.0,16.71,1091.0,16.72,2080.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.51,52.0,24.52,14.0,67.64,7.0,68.08,24.0
2021-09-30 09:30:45.563967-04:00,35.28,92.0,35.44,90.0,18.43,428.0,18.44,791.0,16.71,1091.0,16.72,2080.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.51,52.0,24.52,14.0,67.65,17.0,68.08,24.0
2021-09-30 09:30:45.563967-04:00,35.28,92.0,35.44,90.0,18.43,428.0,18.44,791.0,16.71,638.0,16.72,1923.0,51.65,18.0,51.78,1.0,16.34,178.0,16.35,73.0,24.51,52.0,24.52,14.0,67.65,17.0,68.08,24.0
