time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-30 09:30:04.359132-04:00,18.44,328,18.45,60,16.72,466,16.73,1620,18.445,16.725,2.914793331048639,2.816904606014292,2.914522218128448,2.8166056076565553,2.915064370486536,2.8172035149987327,-0.0004221512479958278,0.0005950070005056318,0.0,-0.005000000000002558,0.845360824742268,0.2233940556088207,1,0,2,2,0,220,32021
2021-09-30 09:30:04.368110-04:00,18.44,328,18.45,60,16.71,339,16.73,1570,18.445,16.72,2.914793331048639,2.8166056076565553,2.914522218128448,2.8160073426073025,2.915064370486536,2.8172035149987327,0.000172855752509804,0.0002710394378970804,0.005000000000002558,0.0,0.845360824742268,0.17757988475641698,2,1,3,2,0,320,41010
2021-09-30 09:30:08.596801-04:00,18.44,335,18.46,650,16.71,339,16.73,1570,18.450000000000003,16.72,2.915064370486536,2.8166056076565553,2.914522218128448,2.8160073426073025,2.9156062290747062,2.8172035149987327,0.0004438951904068844,0.0005951849598329062,0.0,-0.004999999999999005,0.3401015228426396,0.17757988475641698,1,0,4,1,0,410,51001
2021-09-30 09:30:24.633924-04:00,18.44,335,18.46,650,16.71,373,16.72,1417,18.450000000000003,16.715,2.915064370486536,2.816306519872062,2.914522218128448,2.8160073426073025,2.9156062290747062,2.8166056076565553,0.0010390801502397906,-0.0002710394378970804,-0.005000000000002558,0.0,0.3401015228426396,0.20837988826815643,0,1,5,1,0,510,50011
2021-09-30 09:30:24.633924-04:00,18.44,1,18.45,879,16.71,373,16.72,1417,18.445,16.715,2.914793331048639,2.816306519872062,2.914522218128448,2.8160073426073025,2.915064370486536,2.8166056076565553,0.0007680407123427102,0.0,0.0,0.0,0.0011363636363636363,0.20837988826815643,1,1,5,0,0,500,50001
2021-09-30 09:30:24.633924-04:00,18.44,1,18.45,879,16.71,638,16.72,1923,18.445,16.715,2.914793331048639,2.816306519872062,2.914522218128448,2.8160073426073025,2.915064370486536,2.8166056076565553,0.0007680407123427102,-0.0008135593669074126,-0.015000000000000568,0.0,0.0011363636363636363,0.24912143693869582,0,1,5,0,0,500,30011
2021-09-30 09:30:35.661443-04:00,18.42,435,18.44,990,16.71,638,16.72,1923,18.43,16.715,2.9139797716817317,2.816306519872062,2.913437030827161,2.8160073426073025,2.914522218128448,2.8166056076565553,-4.551865456470239e-05,0.0,0.0,0.0,0.30526315789473685,0.24912143693869582,1,1,3,0,0,300,30121
2021-09-30 09:30:45.563967-04:00,18.42,435,18.44,990,16.71,1091,16.72,2080,18.43,16.715,2.9139797716817317,2.816306519872062,2.913437030827161,2.8160073426073025,2.914522218128448,2.8166056076565553,-4.551865456470239e-05,0.00027126000437638353,0.005000000000002558,0.0,0.30526315789473685,0.3440555029959003,2,1,3,0,1,301,41111
2021-09-30 09:30:45.563967-04:00,18.43,428,18.44,791,16.71,1091,16.72,2080,18.435000000000002,16.715,2.914251031686108,2.816306519872062,2.9139797716817317,2.8160073426073025,2.914522218128448,2.8166056076565553,0.00022574134981168115,0.0,0.0,0.0,0.35110746513535684,0.3440555029959003,1,1,4,1,1,411,41011
2021-09-30 09:30:45.563967-04:00,18.43,428,18.44,791,16.71,638,16.72,1923,18.435000000000002,16.715,2.914251031686108,2.816306519872062,2.9139797716817317,2.8160073426073025,2.914522218128448,2.8166056076565553,0.00022574134981168115,0.0,0.0,0.0,0.35110746513535684,0.24912143693869582,1,1,4,1,0,410,40010
