time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2020-11-23 10:41:45.381801-05:00,18.95,8104,18.96,7708,13.79,2576,13.8,903,18.955,13.795,2.9420677489682983,2.6243062076692496,2.9418039315284354,2.6239436918052106,2.942331496826876,2.624668592163159,6.688890838990602e-06,0.0,0.0,0.0,0.5125221350872755,0.7404426559356136,1,1,2,1,2,212,21222
2020-11-23 10:41:49.108311-05:00,18.95,8018,18.96,8288,13.79,2527,13.8,1007,18.955,13.795,2.9420677489682983,2.6243062076692496,2.9418039315284354,2.6239436918052106,2.942331496826876,2.624668592163159,6.688890838990602e-06,0.00016474523465515034,0.010000000000001563,0.009999999999999787,0.4917208389549859,0.7150537634408602,2,2,2,1,2,212,30111
2020-11-23 10:41:59.133980-05:00,18.96,4966,18.97,12651,13.8,2327,13.81,2096,18.965,13.805,2.942595175140862,2.625030845382118,2.942331496826876,2.624668592163159,2.9428587839469227,2.6253929674212007,0.00017143412549414094,0.0,0.0,0.0,0.2818868138729636,0.5261134976260456,1,1,3,0,1,301,30112
2020-11-23 10:42:09.142515-05:00,18.96,3938,18.97,11870,13.8,2850,13.81,1835,18.965,13.805,2.942595175140862,2.625030845382118,2.942331496826876,2.624668592163159,2.9428587839469227,2.6253929674212007,0.00017143412549414094,-0.00036241831591743434,0.0,0.010000000000001563,0.24911437246963564,0.608324439701174,1,2,3,0,1,301,11110
2020-11-23 10:42:19.159326-05:00,18.96,7238,18.97,7922,13.81,2320,13.82,2752,18.965,13.815000000000001,2.942595175140862,2.62575495837538,2.942331496826876,2.6253929674212007,2.9428587839469227,2.626116818339524,-0.0001909841904232934,0.00036241831591743434,0.0,-0.010000000000001563,0.4774406332453826,0.45741324921135645,1,0,1,1,1,111,30112
2020-11-23 10:42:29.175628-05:00,18.96,4987,18.97,11532,13.8,3324,13.81,2013,18.965,13.805,2.942595175140862,2.625030845382118,2.942331496826876,2.624668592163159,2.9428587839469227,2.6253929674212007,0.00017143412549414094,-0.00036241831591743434,0.0,0.010000000000001563,0.30189478782008594,0.6228218100056211,1,2,3,0,1,301,11222
2020-11-23 10:42:39.193700-05:00,18.96,9103,18.97,4739,13.81,3247,13.82,1016,18.965,13.815000000000001,2.942595175140862,2.62575495837538,2.942331496826876,2.6253929674212007,2.9428587839469227,2.626116818339524,-0.0001909841904232934,0.00016499206684450485,0.010000000000001563,0.00999999999999801,0.6576361797428117,0.7616701853155056,2,2,1,1,2,112,21111
2020-11-23 10:42:49.209004-05:00,18.97,6881,18.98,11737,13.82,2208,13.83,2252,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0,0.0,0.0,0.3695885702008809,0.49506726457399103,1,1,2,1,1,211,20011
2020-11-23 10:42:59.226734-05:00,18.97,5280,18.98,12481,13.82,1031,13.83,2724,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0,0.0,0.0,0.29728055852710994,0.2745672436750999,1,1,2,0,0,200,20011
2020-11-23 10:43:09.245504-05:00,18.97,4113,18.98,12533,13.82,1235,13.83,2616,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0,0.0,0.0,0.24708638712002884,0.3206959231368476,1,1,2,0,0,200,21111
2020-11-23 10:43:19.260089-05:00,18.97,7181,18.98,8871,13.82,2024,13.83,2199,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0,0.0,0.0,0.44735858460004985,0.4792801326071513,1,1,2,1,1,211,21210
2020-11-23 10:43:29.278671-05:00,18.97,9457,18.98,5710,13.82,2854,13.83,855,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0003621560739870411,0.0,-0.00999999999999801,0.623524757697633,0.7694796441089242,1,0,2,1,2,212,40101
2020-11-23 10:43:39.296133-05:00,18.97,1343,18.98,11089,13.81,2732,13.82,1929,18.975,13.815000000000001,2.9431223232816937,2.62575495837538,2.9428587839469227,2.6253929674212007,2.9433857931817817,2.626116818339524,0.00033616395040825253,-0.0005271481408315459,-0.010000000000001563,0.0,0.10802767052767052,0.5861403132375027,0,1,4,0,1,401,11122
2020-11-23 10:43:49.062054-05:00,18.96,10426,18.97,7070,13.81,2961,13.82,1877,18.965,13.815000000000001,2.942595175140862,2.62575495837538,2.942331496826876,2.6253929674212007,2.9428587839469227,2.626116818339524,-0.0001909841904232934,0.00016499206684450485,0.010000000000001563,0.00999999999999801,0.5959076360310929,0.6120297643654402,2,2,1,1,1,111,21111
2020-11-23 10:43:59.078228-05:00,18.97,6315,18.98,10386,13.82,1748,13.83,2681,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,0.0,0.0,0.0,0.37812107059457517,0.39467148340483177,1,1,2,1,1,211,21212
2020-11-23 10:44:09.226388-05:00,18.97,10168,18.98,5793,13.82,2858,13.83,1034,18.975,13.825,2.9431223232816937,2.6264785474083983,2.9428587839469227,2.626116818339524,2.9433857931817817,2.626840145676667,-2.599212357878855e-05,-0.000361894211293734,0.0,0.010000000000001563,0.637052816239584,0.7343268242548818,1,2,2,1,2,212,02122
2020-11-23 10:44:19.243376-05:00,18.97,10488,18.98,5244,13.83,1456,13.84,2142,18.975,13.835,2.9431223232816937,2.6272016132388893,2.9428587839469227,2.626840145676667,2.9433857931817817,2.6275629501895237,-0.00038788633487252255,0.0001652376750582718,0.00999999999999801,0.00999999999999801,0.6666666666666666,0.4046692607003891,2,2,0,2,1,021,11111
2020-11-23 10:44:29.265008-05:00,18.98,8075,18.99,8578,13.84,1989,13.85,2560,18.985,13.844999999999999,2.9436491936837657,2.627924156622925,2.9433857931817817,2.6275629501895237,2.9439125248241944,2.6282852326333477,-0.00022264865981425075,0.0,0.0,0.0,0.484897616045157,0.43723895361617937,1,1,1,1,1,111,12211
