time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-09-30 09:30:04.359132-04:00,18.44,328,18.45,60,16.72,466,16.73,1620
2021-09-30 09:30:04.368110-04:00,18.44,328,18.45,60,16.72,466,16.73,1620
2021-09-30 09:30:04.368110-04:00,18.44,328,18.45,60,16.71,339,16.73,1570
2021-09-30 09:30:08.596801-04:00,18.44,335,18.46,650,16.71,339,16.73,1570
2021-09-30 09:30:24.633924-04:00,18.44,335,18.46,650,16.71,339,16.73,1570
2021-09-30 09:30:24.633924-04:00,18.44,335,18.46,650,16.71,339,16.73,1570
2021-09-30 09:30:24.633924-04:00,18.44,335,18.46,650,16.71,373,16.72,1417
2021-09-30 09:30:24.633924-04:00,18.44,335,18.46,650,16.71,373,16.72,1417
2021-09-30 09:30:24.633924-04:00,18.44,1,18.45,879,16.71,373,16.72,1417
2021-09-30 09:30:24.633924-04:00,18.44,1,18.45,879,16.71,373,16.72,1417
2021-09-30 09:30:24.633924-04:00,18.44,1,18.45,879,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.44,1,18.45,879,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.44,1,18.45,879,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.44,1,18.45,879,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.42,435,18.44,990,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.42,435,18.44,990,16.71,638,16.72,1923
2021-09-30 09:30:35.661443-04:00,18.42,435,18.44,990,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.42,435,18.44,990,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.42,435,18.44,990,16.71,1091,16.72,2080
2021-09-30 09:30:45.563967-04:00,18.43,428,18.44,791,16.71,1091,16.72,2080
2021-09-30 09:30:45.563967-04:00,18.43,428,18.44,791,16.71,1091,16.72,2080
2021-09-30 09:30:45.563967-04:00,18.43,428,18.44,791,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:45.563967-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:58.595126-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:58.595126-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:58.595126-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
2021-09-30 09:30:58.595126-04:00,18.43,168,18.44,883,16.71,638,16.72,1923
