Long/Short,Short/Long,Flat
0.7486975193023682,0.6616538763046265,0.595465898513794
0.9010845422744751,0.8266412615776062,0.7187110185623169
1.0166658163070679,0.9291207790374756,0.8087378740310669
1.0692468881607056,0.9862233996391296,0.8725755214691162
1.1014025211334229,1.0171600580215454,0.9204925298690796
1.1269657611846924,1.0398045778274536,0.9505248069763184
1.1497424840927124,1.0591453313827515,0.9767934083938599
1.1694061756134033,1.0743658542633057,1.0012638568878174
1.187402367591858,1.0880932807922363,1.0235693454742432
1.1992380619049072,1.097676396369934,1.0406877994537354
1.2009046077728271,1.1030274629592896,1.0498136281967163
1.2008659839630127,1.1079009771347046,1.0568739175796509
1.2008278369903564,1.1127738952636719,1.063934087753296
1.200789451599121,1.117648959159851,1.0709943771362305
1.2007511854171753,1.1225223541259766,1.0780541896820068
1.2007126808166504,1.1273962259292603,1.0851142406463623
1.200674295425415,1.1322705745697021,1.0921744108200073
1.2006356716156006,1.1371443271636963,1.099234700202942
1.2005971670150757,1.1420176029205322,1.1062949895858765
1.2005592584609985,1.146891474723816,1.113355040550232
1.200520634651184,1.1517659425735474,1.120415210723877
1.2004821300506592,1.1566389799118042,1.127475380897522
1.2004435062408447,1.161513328552246,1.1345354318618774
1.2004050016403198,1.1663874387741089,1.1415952444076538
1.2003669738769531,1.1712604761123657,1.148655652999878
1.2003287076950073,1.176134467124939,1.1557159423828125
1.2002898454666138,1.1810085773468018,1.162776231765747
1.200251817703247,1.185882329940796,1.169836401939392
1.2002134323120117,1.1907562017440796,1.176896095275879
1.2001750469207764,1.1956297159194946,1.1839560270309448
1.2001365423202515,1.2005045413970947,1.191016435623169
1.2000985145568848,1.2053776979446411,1.198076605796814
1.2000596523284912,1.2102516889572144,1.205136775970459
1.2000216245651245,1.2151256799697876,1.2121968269348145
1.1999826431274414,1.2199989557266235,1.2192569971084595
1.1999448537826538,1.2248731851577759,1.2263174057006836
1.199906587600708,1.2297474145889282,1.233377456665039
1.1998679637908936,1.2346208095550537,1.240437388420105
1.1998294591903687,1.2394943237304688,1.2474976778030396
1.1997909545898438,1.244369387626648,1.2545576095581055
1.199752688407898,1.2492427825927734,1.2616175413131714
1.1997145414352417,1.2541168928146362,1.268677830696106
1.1996759176254272,1.2589902877807617,1.27573823928833
1.19963800907135,1.263864517211914,1.282798171043396
1.1995996236801147,1.2687381505966187,1.289858341217041
1.1995607614517212,1.2736116647720337,1.296919345855713
1.1995224952697754,1.278485655784607,1.3039790391921997
1.1994847059249878,1.2833590507507324,1.311038851737976
1.1994457244873047,1.2882328033447266,1.3180991411209106
1.199407935142517,1.293107032775879,1.325158953666687
1.1993685960769653,1.2979812622070312,1.3322193622589111
1.1993308067321777,1.3028544187545776,1.339279055595398
1.199291706085205,1.3077285289764404,1.346339464187622
1.1992533206939697,1.3126026391983032,1.3533990383148193
1.199215054512024,1.3174772262573242,1.3604596853256226
1.1991770267486572,1.3223497867584229,1.3675202131271362
1.1991382837295532,1.3272242546081543,1.374579668045044
1.1990998983383179,1.3320975303649902,1.3816407918930054
1.1990612745285034,1.3369718790054321,1.3886998891830444
1.1990230083465576,1.3418461084365845,1.3957606554031372
1.1989850997924805,1.3467198610305786,1.4028205871582031
1.1989474296569824,1.3515934944152832,1.4098808765411377
1.1989073753356934,1.3564672470092773,1.416940689086914
