time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-27 09:30:07.701313-04:00,17.92,180,17.93,322,16.48,331,16.49,1369,17.925,16.485,2.886196386485684,2.8024508765236944,2.8859174075467844,2.8021475244813256,2.8864752876170416,2.8027541365715076,-0.0002566608901672929,0.0011594825819978283,0.0,-0.00999999999999801,0.35856573705179284,0.19470588235294117,1,0,3,1,0,310,61101
2021-09-27 09:30:14.279726-04:00,17.92,180,17.93,322,16.47,610,16.48,449,17.925,16.475,2.886196386485684,2.801844080388571,2.8859174075467844,2.8015405441895487,2.8864752876170416,2.8021475244813256,0.0009028216918305354,-0.000278978938899499,-0.004999999999999005,0.0,0.35856573705179284,0.5760151085930123,0,1,6,1,1,611,52122
2021-09-27 09:30:17.689610-04:00,17.91,918,17.93,321,16.47,610,16.48,449,17.92,16.475,2.8859174075467844,2.801844080388571,2.8853592160726205,2.8015405441895487,2.8864752876170416,2.8021475244813256,0.0006238427529310364,-0.0009241449683021763,0.02499999999999858,0.01999999999999602,0.7409200968523002,0.5760151085930123,2,2,5,2,1,521,32011
2021-09-27 09:30:17.689610-04:00,17.94,500,17.95,246,16.49,292,16.5,1017,17.945,16.494999999999997,2.8873115245995704,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8875901149342877,2.803360380906535,-0.0003003022153711399,0.0,0.0,0.0,0.6702412868632708,0.22307104660045837,1,1,3,2,0,320,32021
2021-09-27 09:30:27.762677-04:00,17.94,500,17.95,246,16.49,362,16.5,1435,17.945,16.494999999999997,2.8873115245995704,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8875901149342877,2.803360380906535,-0.0003003022153711399,0.0002785903347177765,0.005000000000002558,0.0,0.6702412868632708,0.20144685587089595,2,1,3,2,0,320,41011
2021-09-27 09:30:27.762677-04:00,17.94,233,17.96,412,16.49,362,16.5,1435,17.950000000000003,16.494999999999997,2.887590114934288,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8881470628740535,2.803360380906535,-2.171188065336338e-05,0.0,0.0,0.0,0.3612403100775194,0.20144685587089595,1,1,4,1,0,410,41011
2021-09-27 09:30:27.762677-04:00,17.94,233,17.96,412,16.49,554,16.5,1435,17.950000000000003,16.494999999999997,2.887590114934288,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8881470628740535,2.803360380906535,-2.171188065336338e-05,0.0,0.0,0.0,0.3612403100775194,0.27853192559074913,1,1,4,1,0,410,42011
2021-09-27 09:30:47.744255-04:00,17.94,1148,17.96,486,16.49,554,16.5,1435,17.950000000000003,16.494999999999997,2.887590114934288,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8881470628740535,2.803360380906535,-2.171188065336338e-05,0.0,0.0,0.0,0.7025703794369645,0.27853192559074913,1,1,4,2,0,420,42111
2021-09-27 09:30:47.744255-04:00,17.94,1148,17.96,486,16.49,837,16.5,1455,17.950000000000003,16.494999999999997,2.887590114934288,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8881470628740535,2.803360380906535,-2.171188065336338e-05,0.0,0.0,0.0,0.7025703794369645,0.36518324607329844,1,1,4,2,1,421,42101
2021-09-27 09:30:47.744255-04:00,17.94,1090,17.96,342,16.49,837,16.5,1455,17.950000000000003,16.494999999999997,2.887590114934288,2.8030573046805447,2.88703285663065,2.8027541365715076,2.8881470628740535,2.803360380906535,-2.171188065336338e-05,-0.0002785903347177765,-0.005000000000002558,0.0,0.7611731843575419,0.36518324607329844,0,1,4,2,1,421,31111
